Using device: cuda:0
Found 167805 images belonging to 6563 classes.
Character map already exists, skipping creation.
Train samples: 134244
Val samples: 33561
Training log will be saved to: output/logs/lr_0.0005_bs_16/train.log
Model artifacts will be saved to: output/models/lr_0.0005_bs_16
Total parameters: 36955619
Trainable parameters: 28412323

Epoch 1/50
----------
Epoch 4/50
----------
  Batch 50/8391, Loss: 4.4422
  Batch 100/8391, Loss: 3.2821
  Batch 150/8391, Loss: 3.0153
  Batch 200/8391, Loss: 4.5409
  Batch 250/8391, Loss: 2.3742
  Batch 300/8391, Loss: 2.6078
  Batch 350/8391, Loss: 4.6315
  Batch 400/8391, Loss: 2.3399
  Batch 450/8391, Loss: 4.2203
  Batch 500/8391, Loss: 2.9834
  Batch 550/8391, Loss: 4.6005
  Batch 600/8391, Loss: 4.4983
  Batch 650/8391, Loss: 3.7494
  Batch 700/8391, Loss: 3.0472
  Batch 750/8391, Loss: 3.3884
  Batch 800/8391, Loss: 4.3223
  Batch 850/8391, Loss: 3.6190
  Batch 900/8391, Loss: 3.7706
  Batch 950/8391, Loss: 3.0677
  Batch 1000/8391, Loss: 4.6709
  Batch 1050/8391, Loss: 3.2281
  Batch 1100/8391, Loss: 3.6640
  Batch 1150/8391, Loss: 3.3751
  Batch 1200/8391, Loss: 4.3741
  Batch 1250/8391, Loss: 4.8712
  Batch 1300/8391, Loss: 3.5566
  Batch 1350/8391, Loss: 2.6987
  Batch 1400/8391, Loss: 2.4544
  Batch 1450/8391, Loss: 3.5109
  Batch 1500/8391, Loss: 5.0579
  Batch 1550/8391, Loss: 3.7912
  Batch 1600/8391, Loss: 3.2606
  Batch 1650/8391, Loss: 3.3535
  Batch 1700/8391, Loss: 4.4425
  Batch 1750/8391, Loss: 3.4336
  Batch 1800/8391, Loss: 3.0464
  Batch 1850/8391, Loss: 4.5225
  Batch 1900/8391, Loss: 4.0707
  Batch 1950/8391, Loss: 3.8786
  Batch 2000/8391, Loss: 3.0363
  Batch 2050/8391, Loss: 4.4711
  Batch 2100/8391, Loss: 2.3909
  Batch 2150/8391, Loss: 4.9260
  Batch 2200/8391, Loss: 3.0478
  Batch 2250/8391, Loss: 3.8376
  Batch 2300/8391, Loss: 4.3992
  Batch 2350/8391, Loss: 4.6207
  Batch 2400/8391, Loss: 4.0114
  Batch 2450/8391, Loss: 3.0549
  Batch 2500/8391, Loss: 3.8088
  Batch 2550/8391, Loss: 4.0294
  Batch 2600/8391, Loss: 3.0291
  Batch 2650/8391, Loss: 3.2535
  Batch 2700/8391, Loss: 3.3614
  Batch 2750/8391, Loss: 2.2535
  Batch 2800/8391, Loss: 3.1408
  Batch 2850/8391, Loss: 4.5956
  Batch 2900/8391, Loss: 2.9074
  Batch 2950/8391, Loss: 2.6583
  Batch 3000/8391, Loss: 3.7540
  Batch 3050/8391, Loss: 3.2847
  Batch 3100/8391, Loss: 3.1939
  Batch 3150/8391, Loss: 4.4507
  Batch 3200/8391, Loss: 3.6930
  Batch 3250/8391, Loss: 3.5300
  Batch 3300/8391, Loss: 2.9765
  Batch 3350/8391, Loss: 2.6559
  Batch 3400/8391, Loss: 3.5563
  Batch 3450/8391, Loss: 4.8443
  Batch 3500/8391, Loss: 2.9496
  Batch 3550/8391, Loss: 1.8461
  Batch 3600/8391, Loss: 3.1642
  Batch 3650/8391, Loss: 4.0306
  Batch 3700/8391, Loss: 2.2801
  Batch 3750/8391, Loss: 2.2764
  Batch 3800/8391, Loss: 4.7744
  Batch 3850/8391, Loss: 3.5431
  Batch 3900/8391, Loss: 2.2531
  Batch 3950/8391, Loss: 3.3404
  Batch 4000/8391, Loss: 3.6553
  Batch 4050/8391, Loss: 3.3067
  Batch 4100/8391, Loss: 3.1240
  Batch 4150/8391, Loss: 3.2409
  Batch 4200/8391, Loss: 3.0490
  Batch 4250/8391, Loss: 3.7904
  Batch 4300/8391, Loss: 2.2737
  Batch 4350/8391, Loss: 3.1152
  Batch 4400/8391, Loss: 3.0732
  Batch 4450/8391, Loss: 3.2570
  Batch 4500/8391, Loss: 3.9550
  Batch 4550/8391, Loss: 2.8151
  Batch 4600/8391, Loss: 3.8486
  Batch 4650/8391, Loss: 2.3935
  Batch 4700/8391, Loss: 3.7720
  Batch 4750/8391, Loss: 2.4470
  Batch 4800/8391, Loss: 4.0612
  Batch 4850/8391, Loss: 2.9940
  Batch 4900/8391, Loss: 3.4692
  Batch 4950/8391, Loss: 3.5256
